Iterations,Time
0, 7.9e-08
1, 2.9712e-05
2, 0.000104748
3, 0.000241064
4, 0.000440823
5, 0.000745064
6, 0.0015056
7, 0.00168882
8, 0.0018643
9, 0.00236182
10, 0.00292773
11, 0.00362773
12, 0.00584964
13, 0.00729443
14, 0.00734038
15, 0.006756
16, 0.00775411
17, 0.00904901
18, 0.0113469
19, 0.0164682
20, 0.0174675
21, 0.019326
22, 0.0284788
23, 0.0187322
24, 0.0276556
25, 0.0265612
26, 0.0229485
27, 0.0245383
28, 0.0319354
29, 0.0322852
30, 0.0277136
31, 0.0348853
32, 0.0316843
33, 0.0339738
34, 0.041235
35, 0.0414534
36, 0.0466949
37, 0.0512547
38, 0.0693945
39, 0.0719899
40, 0.074883
41, 0.0863318
42, 0.0612097
43, 0.0678379
44, 0.0782771
45, 0.0799682
46, 0.0732155
47, 0.086252
48, 0.0815658
49, 0.082626
50, 0.088553
51, 0.0921207
52, 0.103886
53, 0.133116
54, 0.116065
55, 0.135966
56, 0.167627
57, 0.10941
58, 0.113731
59, 0.122438
60, 0.123051
61, 0.132607
62, 0.135575
63, 0.142003
64, 0.137794
65, 0.143817
66, 0.156663
67, 0.159491
68, 0.1646
69, 0.166847
70, 0.165513
71, 0.174058
72, 0.182633
73, 0.227425
74, 0.33404
75, 0.224702
76, 0.255543
77, 0.286389
78, 0.380241
79, 0.347496
80, 0.258949
81, 0.239323
82, 0.240154
83, 0.283045
84, 0.2822
85, 0.259536
86, 0.260201
87, 0.276935
88, 0.307506
89, 0.381414
90, 0.299584
91, 0.371605
92, 0.292639
93, 0.324903
94, 0.320625
95, 0.318547
96, 0.357806
97, 0.513826
98, 0.433854
99, 0.378037
