Iterations,Search Collisions,Insert Collisions
0,0,0
1,1,0
2,2,0
3,1,1
4,2,1
5,1,2
6,2,1
7,1,2
8,2,3
9,1,5
10,4,6
11,1,7
12,6,9
13,4,9
14,7,11
15,5,12
16,10,15
17,8,14
18,13,17
19,8,17
20,14,21
21,13,18
22,17,27
23,20,20
24,23,28
25,21,23
26,23,29
27,30,28
28,29,36
29,35,37
30,32,37
31,36,42
32,35,39
33,40,50
34,36,46
35,41,58
36,40,61
37,46,71
38,44,70
39,54,75
40,46,75
41,58,89
42,48,84
43,59,97
44,53,102
45,62,107
46,59,112
47,65,113
48,63,125
49,67,123
50,73,140
51,71,130
52,79,148
53,72,137
54,83,159
55,84,151
56,90,171
57,92,168
58,94,184
59,97,184
60,104,204
61,103,200
62,108,212
63,106,212
64,113,232
65,109,224
66,120,245
67,118,240
68,121,256
69,125,250
70,129,267
71,131,264
72,134,281
73,134,284
74,138,294
75,140,301
76,142,308
77,147,318
78,147,317
79,149,332
80,150,332
81,152,345
82,153,349
83,155,372
84,158,365
85,156,389
86,160,379
87,159,411
88,164,400
89,165,426
90,167,419
91,170,443
92,176,429
93,179,469
94,176,451
95,182,497
96,185,482
97,190,525
98,191,499
99,198,552
