Iterations,Search,Insert
0,6.865e-08,8.203e-08
1,2.818e-08,9.711e-08
2,3.085e-08,7.602e-08
3,2.74e-08,1.5242e-07
4,2.648e-08,7.658e-08
5,2.809e-08,7.526e-08
6,3.188e-08,9.109e-08
7,3.064e-08,7.448e-08
8,3.431e-08,9.261e-08
9,2.888e-08,7.653e-08
10,3.193e-08,7.691e-08
11,3.077e-08,9.228e-08
12,3.054e-08,7.594e-08
13,3.419e-08,9.66e-08
14,3.118e-08,7.564e-08
15,3.351e-08,7.596e-08
16,3.706e-08,9.483e-08
17,3.975e-08,7.582e-08
18,3.46e-08,7.584e-08
19,3.591e-08,9.201e-08
20,3.778e-08,7.683e-08
21,3.8e-08,8.948e-08
22,3.401e-08,7.846e-08
23,3.927e-08,7.521e-08
24,3.791e-08,9.386e-08
25,3.594e-08,7.692e-08
26,3.659e-08,9.123e-08
27,4.08e-08,7.804e-08
28,3.778e-08,8.099e-08
29,4.001e-08,9.778e-08
30,3.829e-08,7.403e-08
31,3.486e-08,9.438e-08
32,3.907e-08,7.537e-08
33,3.847e-08,8.143e-08
34,3.588e-08,9.797e-08
35,3.44e-08,8.054e-08
36,3.725e-08,1.0112e-07
37,3.992e-08,8.529e-08
38,3.778e-08,8.225e-08
39,3.619e-08,9.287e-08
40,3.657e-08,7.77e-08
41,3.832e-08,8.518e-08
42,3.714e-08,9.716e-08
43,3.456e-08,8.085e-08
44,3.787e-08,1.0786e-07
45,3.726e-08,8.242e-08
46,3.818e-08,8.308e-08
47,3.616e-08,9.491e-08
48,3.743e-08,8.638e-08
49,3.588e-08,9.804e-08
50,3.817e-08,8.652e-08
51,3.506e-08,8.079e-08
52,3.82e-08,9.857e-08
53,3.557e-08,7.968e-08
54,3.684e-08,9.973e-08
55,3.837e-08,8.537e-08
56,3.591e-08,8.494e-08
57,3.671e-08,1.058e-07
58,3.568e-08,8.535e-08
59,3.459e-08,8.829e-08
60,3.759e-08,1.0602e-07
61,3.514e-08,8.93e-08
62,3.653e-08,9.628e-08
63,3.423e-08,8.366e-08
64,3.525e-08,9.104e-08
65,3.433e-08,1.0435e-07
66,3.502e-08,8.59e-08
67,3.655e-08,1.0378e-07
68,3.34e-08,8.316e-08
69,3.513e-08,8.231e-08
70,6.277e-08,2.5441e-07
71,5.944e-08,1.0913e-07
72,6.068e-08,1.3496e-07
73,5.938e-08,1.1639e-07
74,5.949e-08,1.1259e-07
75,3.89e-08,1.1757e-07
76,3.788e-08,8.945e-08
77,3.701e-08,1.0754e-07
78,3.585e-08,8.411e-08
79,3.491e-08,8.68e-08
80,5.802e-08,1.1498e-07
81,6.39e-08,1.1258e-07
82,6.221e-08,1.232e-07
83,6.265e-08,1.5009e-07
84,6.327e-08,1.179e-07
85,6.034e-08,1.4478e-07
86,6.245e-08,1.1643e-07
87,3.666e-08,1.1831e-07
88,3.871e-08,1.1471e-07
89,3.718e-08,8.915e-08
90,3.557e-08,1.0808e-07
91,6.288e-08,1.1325e-07
92,4.07e-08,1.0057e-07
93,3.853e-08,1.1888e-07
94,3.655e-08,9.671e-08
95,3.534e-08,1.2106e-07
96,3.779e-08,1.0302e-07
97,3.7e-08,1.02e-07
98,3.544e-08,1.0838e-07
99,3.845e-08,9.854e-08
